noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,23.52,23.81,-2.42,-2.07,-81594.04,-2.07,-108.70
0.00,0.40,23.52,-38.61,-39.55,-255.45,-76122.21,-39.55,-2.44
0.00,0.80,23.52,-68.85,-88.21,-620.88,-118392.46,-88.21,-28.13
0.00,1.20,23.52,-83.81,-119.19,-842.52,-150357.68,-119.19,-42.22
0.00,1.60,23.52,-94.92,-137.08,-972.36,-172435.10,-137.08,-44.42
0.00,2.00,23.52,-100.80,-147.04,-1055.72,-185126.10,-147.04,-45.87
0.00,2.40,23.52,-104.42,-156.69,-1104.50,-196675.84,-156.69,-50.06
0.00,2.80,23.52,-107.79,-161.44,-1155.29,-203054.93,-161.44,-49.78
0.00,3.00,23.52,-108.83,-162.94,-1173.81,-208981.96,-162.94,-49.72
