noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,23.10,23.60,-5.57,22.03,3269.10,3269.10,13751.98
0.00,0.40,23.10,-9.59,-36.39,-226.40,-42377.99,-36.39,-279.54
0.00,0.80,23.10,-44.01,-85.64,-628.51,-113149.76,-85.64,-94.57
0.00,1.20,23.10,-63.96,-118.40,-867.35,-153761.60,-118.40,-85.11
0.00,1.60,23.10,-78.26,-136.38,-987.36,-175996.67,-136.38,-74.27
0.00,2.00,23.10,-86.18,-146.28,-1075.69,-191469.71,-146.28,-69.74
0.00,2.40,23.10,-92.11,-155.00,-1131.01,-199825.38,-155.00,-68.27
0.00,2.80,23.10,-96.20,-160.06,-1181.96,-208042.68,-160.06,-66.37
0.00,3.00,23.10,-100.51,-164.38,-1198.88,-211182.82,-164.38,-63.55
