delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,28.44,0.42,25.51,3.96,19.47,7.08,25.51,-10.28
2,19.15,0.44,20.27,3.97,16.12,6.98,20.27,5.83
3,13.73,0.44,16.46,3.91,12.77,6.96,16.46,19.93
5,6.58,0.41,11.90,3.85,5.80,7.07,11.90,80.83
8,-2.20,0.50,3.58,4.00,-1.64,7.16,3.58,262.83
