delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,2.32,0.32,0.69,3.70,3.21,6.84,3.21,38.11
2,0.72,0.32,0.80,3.82,1.51,6.75,1.51,110.84
3,-1.82,0.33,0.77,3.79,0.56,6.86,0.77,142.48
5,-7.07,0.33,-0.51,3.83,-2.67,6.77,-0.51,92.82
8,-20.32,0.31,-1.68,3.68,-7.02,6.78,-1.68,91.73
