delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,49.71,0.42,32.82,4.00,35.40,7.20,35.40,-28.78
2,32.80,0.41,27.98,3.97,30.14,7.06,30.14,-8.11
3,23.15,0.45,24.00,3.95,23.79,7.09,24.00,3.66
5,17.71,0.43,19.40,3.96,17.83,6.88,19.40,9.54
8,14.07,0.47,15.62,4.01,12.42,7.06,15.62,11.06
