delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.47,0.22,-11.20,3.39,-13.49,6.26,-11.20,-18.32
2,-11.60,0.22,-11.34,3.45,-13.87,6.27,-11.34,2.22
3,-13.67,0.23,-11.39,3.36,-13.66,6.25,-11.39,16.67
5,-18.38,0.22,-12.03,3.39,-13.99,6.32,-12.03,34.53
8,-24.19,0.21,-12.82,3.43,-14.23,6.17,-12.82,47.02
