delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.25,0.23,-11.18,3.48,-13.40,6.43,-11.18,-20.85
2,-11.33,0.23,-11.30,3.45,-13.77,6.43,-11.30,0.31
3,-13.40,0.24,-11.33,3.49,-13.54,6.48,-11.33,15.46
5,-18.07,0.21,-12.02,3.41,-13.87,6.35,-12.02,33.50
8,-23.91,0.24,-12.73,3.41,-14.21,6.29,-12.73,46.77
