delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,2.35,0.32,1.32,3.72,2.95,6.74,2.95,25.68
2,0.09,0.33,0.91,3.72,0.93,6.74,0.93,911.66
3,-2.86,0.33,0.79,3.74,-0.12,6.74,0.79,127.61
5,-9.02,0.33,-0.82,3.68,-4.15,6.75,-0.82,90.89
8,-21.96,0.31,-2.22,3.70,-8.41,6.65,-2.22,89.88
