delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.50,0.23,-11.24,3.36,-13.40,6.26,-11.24,-18.34
2,-11.55,0.22,-11.33,3.36,-13.78,6.35,-11.33,1.86
3,-13.59,0.23,-11.38,3.40,-13.55,6.33,-11.38,16.29
5,-18.21,0.23,-12.07,3.39,-13.91,6.35,-12.07,33.70
8,-23.81,0.24,-12.77,3.39,-14.22,6.21,-12.77,46.37
