delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-436.84,0.38,-453.80,3.69,-451.64,6.74,-451.64,-3.39
2,-464.32,0.34,-467.64,3.72,-489.06,6.71,-467.64,-0.71
3,-498.85,0.34,-480.88,3.70,-529.63,6.79,-480.88,3.60
5,-576.70,0.34,-529.22,3.69,-614.82,6.61,-529.22,8.23
8,-685.15,0.34,-586.02,3.68,-725.67,6.83,-586.02,14.47
