delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,47.30,0.50,29.44,3.94,32.04,7.06,32.04,-32.27
2,26.82,0.44,21.46,3.91,22.07,7.06,22.07,-17.70
3,16.71,0.45,15.31,3.93,15.39,7.11,15.39,-7.85
5,8.34,0.38,7.99,3.99,6.21,7.09,7.99,-4.19
8,-4.24,0.45,-0.78,3.99,-6.72,6.97,-0.78,81.58
