delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,2.04,0.33,1.55,3.65,3.36,6.67,3.36,64.76
2,0.09,0.31,1.23,3.62,1.66,6.66,1.66,1763.15
3,-2.22,0.32,1.31,3.67,0.61,6.63,1.31,159.09
5,-8.09,0.33,-0.19,3.67,-2.77,6.65,-0.19,97.66
8,-21.28,0.33,-1.39,3.68,-7.27,6.64,-1.39,93.45
