delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-406.57,0.33,-438.21,3.72,-432.14,6.73,-432.14,-6.29
2,-438.02,0.37,-448.88,3.66,-470.41,6.67,-448.88,-2.48
3,-484.69,0.30,-471.41,3.73,-519.54,6.75,-471.41,2.74
5,-570.25,0.34,-522.03,3.71,-608.38,6.80,-522.03,8.46
8,-673.67,0.34,-579.37,3.71,-713.24,6.74,-579.37,14.00
