delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,39.00,0.50,25.69,4.21,34.27,7.07,34.27,-12.12
2,27.82,0.45,22.26,3.96,25.55,6.98,25.55,-8.15
3,22.17,0.45,18.19,3.90,17.27,6.95,18.19,-17.97
5,11.85,0.45,11.03,3.83,8.62,7.15,11.03,-6.85
8,-2.00,0.45,1.66,3.97,-5.54,7.07,1.66,183.14
