delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-59.65,0.20,-56.72,3.42,-63.45,6.18,-56.72,4.90
2,-59.95,0.22,-57.63,3.35,-62.56,6.25,-57.63,3.88
3,-66.07,0.22,-60.54,3.41,-63.96,6.21,-60.54,8.36
5,-83.05,0.20,-61.48,3.37,-65.17,6.22,-61.48,25.97
8,-120.19,0.23,-62.15,3.37,-65.18,6.25,-62.15,48.29
