delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.52,0.22,-11.18,3.44,-13.42,6.37,-11.18,-17.35
2,-11.61,0.23,-11.27,3.47,-13.75,6.30,-11.27,2.93
3,-13.57,0.20,-11.37,3.40,-13.54,6.34,-11.37,16.23
5,-18.31,0.21,-11.98,3.48,-13.92,6.38,-11.98,34.55
8,-24.38,0.22,-12.74,3.42,-14.21,6.29,-12.74,47.74
