delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-410.48,0.35,-436.69,3.73,-438.40,6.78,-436.69,-6.39
2,-442.79,0.34,-450.73,3.64,-473.94,6.57,-450.73,-1.79
3,-486.96,0.36,-467.26,3.70,-516.83,6.79,-467.26,4.04
5,-571.12,0.34,-516.31,3.70,-609.65,6.73,-516.31,9.60
8,-675.19,0.32,-576.43,3.67,-719.60,6.81,-576.43,14.63
