delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-422.19,0.34,-449.59,3.74,-447.35,6.78,-447.35,-5.96
2,-447.50,0.32,-462.32,3.72,-481.59,6.78,-462.32,-3.31
3,-491.86,0.35,-473.89,3.73,-521.84,6.83,-473.89,3.65
5,-574.00,0.35,-522.50,3.73,-609.35,6.78,-522.50,8.97
8,-677.07,0.34,-577.47,3.75,-718.17,6.79,-577.47,14.71
