delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-60.57,0.21,-56.65,3.38,-63.55,6.26,-56.65,6.46
2,-60.96,0.23,-57.66,3.33,-62.65,6.04,-57.66,5.42
3,-65.87,0.23,-60.32,3.36,-64.14,6.03,-60.32,8.42
5,-81.62,0.23,-61.12,3.30,-65.11,6.17,-61.12,25.11
8,-118.31,0.23,-61.97,3.39,-65.15,6.11,-61.97,47.62
