delay_k,reward_noisy,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,1.73,0.33,0.56,3.58,2.49,6.73,2.49,44.19
2,-0.03,0.33,0.37,3.69,1.24,6.74,1.24,4573.28
3,-2.37,0.34,0.55,3.69,0.54,6.70,0.55,123.37
5,-8.13,0.32,-0.86,3.60,-2.34,6.59,-0.86,89.44
8,-20.13,0.32,-2.01,3.76,-6.03,6.65,-2.01,90.00
