noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,4.18,-18.44,-9.70,-9.36,-200.79,-9.36,49.21
1.00,1.00,4.18,-7.14,-5.13,-2.71,-247.47,-2.71,62.00
1.00,2.00,4.18,-15.15,-4.51,-4.12,-736.96,-4.12,72.78
1.00,3.00,4.18,-20.18,-6.30,-9.56,-1424.40,-6.30,68.78
