action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-399.87,-404.32,-437.96,-395.97,-740.68,-395.97,2.06
0.40,-399.87,-432.59,-459.73,-439.25,-1076.39,-439.25,-1.54
0.80,-399.87,-501.81,-507.19,-535.50,-2187.06,-507.19,-1.07
1.20,-399.87,-560.08,-538.15,-613.34,-3244.02,-538.15,3.91
1.60,-399.87,-604.22,-572.60,-656.78,-4148.11,-572.60,5.23
2.00,-399.87,-633.45,-586.41,-695.37,-4630.28,-586.41,7.43
2.40,-399.87,-665.10,-603.54,-717.87,-5062.35,-603.54,9.26
2.80,-399.87,-680.72,-614.76,-750.70,-5605.55,-614.76,9.69
3.00,-399.87,-686.61,-618.38,-746.28,-5699.55,-618.38,9.94
