noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,95.77,107.20,48.56,74.22,117.39,117.39,9.50
0.00,0.40,95.77,55.23,32.85,51.41,75.77,75.77,37.18
0.00,0.80,95.77,31.33,22.69,32.85,39.00,39.00,24.49
0.00,1.20,95.77,20.93,15.73,24.13,28.37,28.37,35.51
0.00,1.60,95.77,13.15,12.28,16.45,21.20,21.20,61.27
0.00,2.00,95.77,9.36,9.47,12.61,17.56,17.56,87.71
0.00,2.40,95.77,8.87,7.44,9.76,12.64,12.64,42.42
0.00,2.80,95.77,4.12,4.80,7.77,14.27,14.27,246.82
0.00,3.00,95.77,1.24,2.09,5.63,12.00,12.00,870.16
