action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.95,-8.75,-10.88,-13.28,-391571.48,-10.88,-24.28
0.40,-8.95,-10.70,-11.43,-13.16,-18258910102.04,-11.43,-6.82
0.80,-8.95,-15.22,-12.02,-13.52,-1332363456.32,-12.02,21.03
1.20,-8.95,-19.03,-12.69,-13.87,-615147.51,-12.69,33.29
1.60,-8.95,-22.11,-12.83,-13.89,-23215304.69,-12.83,41.98
2.00,-8.95,-25.65,-13.48,-14.01,-12845838539.71,-13.48,47.43
2.40,-8.95,-26.65,-13.50,-14.05,-44717202.91,-13.50,49.33
2.80,-8.95,-26.90,-13.57,-14.34,-2430052689.42,-13.57,49.56
3.00,-8.95,-27.69,-13.66,-14.42,-2562007.14,-13.66,50.67
