action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.97,-8.76,-10.84,-12.96,-70083570.64,-10.84,-23.69
0.40,-8.97,-10.81,-11.15,-13.37,-772823960.91,-11.15,-3.09
0.80,-8.97,-15.41,-12.08,-14.12,-577845175.93,-12.08,21.60
1.20,-8.97,-19.51,-12.61,-13.64,-160053820.88,-12.61,35.39
1.60,-8.97,-21.81,-12.71,-13.98,-1250652096.68,-12.71,41.72
2.00,-8.97,-24.43,-13.43,-14.12,-13767992.32,-13.43,45.05
2.40,-8.97,-26.34,-13.30,-14.26,-416016158.34,-13.30,49.50
2.80,-8.97,-27.36,-13.48,-14.34,-84756727.28,-13.48,50.73
3.00,-8.97,-27.96,-13.48,-14.40,-12960373.57,-13.48,51.80
