action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-411.92,-407.89,-438.02,-413.79,-751.10,-413.79,-1.45
0.40,-411.92,-436.38,-453.30,-451.84,-1089.41,-451.84,-3.54
0.80,-411.92,-500.62,-496.96,-538.41,-2278.09,-496.96,0.73
1.20,-411.92,-561.55,-537.97,-608.04,-3276.62,-537.97,4.20
1.60,-411.92,-604.46,-568.79,-664.95,-4254.91,-568.79,5.90
2.00,-411.92,-634.55,-585.14,-701.95,-4933.72,-585.14,7.79
2.40,-411.92,-663.85,-600.08,-731.90,-5205.80,-600.08,9.61
2.80,-411.92,-675.97,-614.15,-754.08,-5589.70,-614.15,9.14
3.00,-411.92,-676.68,-614.97,-759.85,-5740.93,-614.97,9.12
