noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,4.26,-21.68,-9.20,-8.13,-195.58,-8.13,62.52
1.00,1.00,4.26,-5.96,-5.12,-2.64,-293.09,-2.64,55.77
1.00,2.00,4.26,-16.13,-5.41,-4.78,-843.64,-4.78,70.39
1.00,3.00,4.26,-23.16,-7.63,-7.72,-1353.68,-7.63,67.06
