action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-59.07,-58.92,-57.88,-64.59,-104.45,-57.88,1.76
0.40,-59.07,-64.48,-59.92,-64.58,-106.97,-59.92,7.06
0.80,-59.07,-76.55,-60.36,-59.61,-113.14,-59.61,22.12
1.20,-59.07,-96.55,-59.84,-65.59,-106.48,-59.84,38.02
1.60,-59.07,-109.25,-59.84,-69.69,-113.06,-59.84,45.23
2.00,-59.07,-137.20,-59.32,-66.41,-104.81,-59.32,56.76
2.40,-59.07,-141.56,-59.32,-64.29,-109.52,-59.32,58.10
2.80,-59.07,-158.84,-63.09,-66.25,-108.00,-63.09,60.28
3.00,-59.07,-151.27,-63.95,-63.23,-109.63,-63.23,58.20
