noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,4.12,3.78,2.20,5.55,-24.74,5.55,46.77
0.00,0.40,4.12,2.40,0.84,4.35,-75.15,4.35,81.04
0.00,0.80,4.12,-1.23,-0.16,2.14,-293.10,2.14,273.77
0.00,1.20,4.12,-7.51,-1.56,-0.18,-616.65,-0.18,97.55
0.00,1.60,4.12,-10.99,-2.58,-2.73,-952.79,-2.58,76.57
0.00,2.00,4.12,-13.73,-4.26,-4.31,-1184.38,-4.26,68.98
0.00,2.40,4.12,-18.57,-5.16,-6.36,-1356.61,-5.16,72.23
0.00,2.80,4.12,-22.99,-5.69,-7.35,-1655.31,-5.69,75.25
0.00,3.00,4.12,-24.03,-6.29,-7.43,-1609.61,-6.29,73.81
