noise_mu,action_noise_std,reward_pred_no_noise,reward_prey_no_noise,reward_pred_noise_no_diffusion,reward_prey_noise_no_diffusion,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1.00,0.00,83.51,-31.20,89.33,-33.36,2.98,15.49,32.25,-14.92,1.07,19.37,45.52,-18.20,1.52,17.11,45.52,-14.92,-49.03,55.28
1.00,1.00,83.51,-31.20,25.84,-12.99,0.86,19.13,20.48,-11.67,0.68,20.06,17.32,-10.68,0.58,19.89,20.48,-10.68,-20.75,17.81
1.00,2.00,83.51,-31.20,14.55,-9.82,0.48,20.61,14.44,-10.55,0.48,20.82,12.22,-10.37,0.41,20.87,14.44,-10.37,-0.77,-5.61
1.00,3.00,83.51,-31.20,12.56,-9.30,0.42,20.78,12.26,-9.51,0.41,20.96,11.78,-9.60,0.39,20.79,12.26,-9.51,-2.39,-2.24
