noise_mu,action_noise_std,reward_pred_no_noise,reward_prey_no_noise,reward_pred_noise_no_diffusion,reward_prey_noise_no_diffusion,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1.00,0.00,145.43,-52.42,146.18,-52.18,4.87,13.80,76.16,-27.79,2.54,17.63,69.75,-25.44,2.33,17.29,146.96,-52.32,4.90,13.81,101.25,-37.31,3.38,14.23,134.36,-48.13,4.48,13.64,111.67,-40.56,3.72,14.38,101.25,-27.79,-30.73,46.74
1.00,1.00,145.43,-52.42,32.17,-15.73,1.07,17.82,25.88,-12.67,0.86,19.14,24.49,-12.66,0.82,19.06,33.15,-15.41,1.10,18.29,29.36,-15.43,0.98,18.37,29.62,-14.09,0.99,18.49,30.30,-15.87,1.01,18.31,29.36,-12.67,-8.74,19.41
1.00,2.00,145.43,-52.42,20.81,-16.86,0.69,19.73,16.99,-13.29,0.57,20.12,17.32,-15.23,0.58,20.18,21.45,-15.46,0.71,19.23,19.31,-18.70,0.64,19.41,20.32,-15.83,0.68,19.62,21.26,-17.69,0.71,19.38,19.31,-13.29,-7.21,21.19
1.00,3.00,145.43,-52.42,17.06,-17.85,0.57,19.87,14.81,-15.24,0.49,20.65,16.24,-17.72,0.54,20.22,15.41,-16.31,0.51,20.18,15.60,-19.03,0.52,20.19,15.49,-18.87,0.52,19.78,17.18,-19.72,0.57,19.88,15.60,-15.24,-8.57,14.62
