noise_mu,action_noise_std,reward_pred_no_noise,reward_prey_no_noise,reward_pred_noise_no_diffusion,reward_prey_noise_no_diffusion,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
-1.00,0.00,91.20,-31.46,100.58,-34.65,3.35,14.11,52.76,-18.55,1.76,17.59,51.23,-17.90,1.71,17.97,104.66,-36.28,3.49,14.27,76.65,-28.13,2.56,14.78,108.30,-37.55,3.61,13.74,75.53,-27.08,2.52,14.92,76.65,-18.55,-23.79,46.45
-1.00,1.00,91.20,-31.46,36.83,-17.12,1.23,17.43,22.54,-11.51,0.75,18.90,24.56,-12.44,0.82,19.06,33.83,-15.39,1.13,17.94,29.59,-15.67,0.99,18.25,32.55,-15.32,1.08,17.96,31.80,-16.54,1.06,18.01,29.59,-11.51,-19.65,32.77
-1.00,2.00,91.20,-31.46,21.04,-16.59,0.70,19.52,19.46,-14.46,0.65,19.85,20.96,-16.18,0.70,19.51,20.66,-15.37,0.69,19.35,21.60,-19.34,0.72,18.99,22.24,-16.84,0.74,19.12,23.06,-18.44,0.77,19.16,21.60,-14.46,2.67,12.86
-1.00,3.00,91.20,-31.46,17.40,-18.41,0.58,19.80,16.73,-16.45,0.56,20.56,15.71,-17.18,0.52,20.18,17.32,-17.28,0.58,19.88,17.02,-19.76,0.57,19.90,17.44,-19.06,0.58,19.78,17.40,-20.19,0.58,19.93,17.02,-16.45,-2.16,10.61
