noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,4.80,0.36,4.95,0.36,2.39,3.77,4.69,6.81,4.69,-5.11
1.00,1.00,4.80,0.36,-3.70,0.38,-1.75,3.78,-1.03,6.80,-1.03,72.16
1.00,2.00,4.80,0.36,-17.33,0.39,-4.88,3.78,-5.68,6.81,-4.88,71.84
1.00,3.00,4.80,0.36,-24.53,0.39,-6.37,3.80,-8.00,6.84,-6.37,74.04
