noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,-9.23,0.25,-9.05,0.27,-10.63,3.51,-13.37,6.42,-10.63,-17.48
1.00,1.00,-9.23,0.25,-17.22,0.26,-12.18,3.51,-13.68,6.40,-12.18,29.22
1.00,2.00,-9.23,0.25,-24.06,0.26,-13.52,3.51,-14.18,6.41,-13.52,43.80
1.00,3.00,-9.23,0.25,-28.13,0.26,-14.05,3.53,-14.26,6.41,-14.05,50.07
