noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,102.46,0.47,101.11,0.52,50.20,4.14,67.57,7.38,67.57,-33.17
0.00,1.00,102.46,0.47,23.61,0.51,20.60,4.12,21.48,7.36,21.48,-9.03
0.00,2.00,102.46,0.47,7.21,0.51,9.70,4.15,5.75,7.36,9.70,34.61
0.00,3.00,102.46,0.47,2.57,0.50,4.19,4.13,1.81,7.40,4.19,63.04
