noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,48.59,0.49,51.50,0.52,38.36,4.10,37.44,7.31,38.36,-25.51
1.00,1.00,48.59,0.49,9.29,0.51,11.15,4.09,11.64,7.30,11.64,25.21
1.00,2.00,48.59,0.49,2.28,0.51,3.95,4.09,0.64,7.31,3.95,73.18
1.00,3.00,48.59,0.49,-3.30,0.51,-0.29,4.13,-4.02,7.33,-0.29,91.26
