delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-440.55,-452.81,-446.00,-446.00,-1.24
2,-461.84,-463.29,-496.94,-463.29,-0.31
3,-499.08,-483.54,-548.59,-483.54,3.11
5,-572.70,-527.75,-654.38,-527.75,7.85
8,-688.44,-590.81,-818.34,-590.81,14.18
