delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-430.02,-450.65,-435.68,-435.68,-1.32
2,-456.16,-458.07,-489.05,-458.07,-0.42
3,-490.85,-479.70,-547.76,-479.70,2.27
5,-570.98,-520.31,-651.24,-520.31,8.87
8,-675.94,-576.34,-800.54,-576.34,14.74
