delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-34.46,-55.22,-63.69,-55.22,-60.23
2,-36.81,-54.94,-63.09,-54.94,-49.26
3,-40.30,-56.16,-65.70,-56.16,-39.37
5,-57.31,-56.01,-65.18,-56.01,2.26
8,-99.07,-58.93,-66.76,-58.93,40.52
