delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.37,-10.94,-13.16,-10.94,-16.70
2,-11.38,-11.12,-13.19,-11.12,2.31
3,-13.55,-11.68,-13.38,-11.68,13.80
5,-17.79,-12.22,-14.08,-12.22,31.34
8,-24.05,-12.64,-13.85,-12.64,47.44
