delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.76,-10.84,-13.05,-10.84,-11.06
2,-11.52,-11.15,-13.23,-11.15,3.21
3,-13.78,-11.57,-13.60,-11.57,16.02
5,-17.87,-12.11,-13.33,-12.11,32.24
8,-24.37,-12.49,-14.31,-12.49,48.77
