delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-409.05,-431.81,-424.08,-424.08,-3.67
2,-440.84,-451.27,-482.35,-451.27,-2.36
3,-486.31,-477.02,-546.50,-477.02,1.91
5,-568.95,-518.76,-652.97,-518.76,8.82
8,-680.63,-579.93,-797.89,-579.93,14.80
