delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-9.70,-10.92,-13.34,-10.92,-12.65
2,-11.62,-11.08,-13.54,-11.08,4.65
3,-13.64,-11.72,-13.51,-11.72,14.05
5,-18.10,-12.34,-13.61,-12.34,31.80
8,-24.28,-12.89,-14.13,-12.89,46.91
