delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-60.46,-61.90,-63.16,-61.90,-2.38
2,-61.11,-57.13,-64.57,-57.13,6.52
3,-67.20,-60.07,-64.70,-60.07,10.61
5,-81.70,-60.36,-66.30,-60.36,26.13
8,-121.91,-58.62,-64.47,-58.62,51.91
