delay_k,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1,-10.12,-11.07,-13.31,-11.07,-9.41
2,-11.13,-11.21,-13.39,-11.21,-0.77
3,-14.05,-11.69,-13.41,-11.69,16.81
5,-17.88,-11.90,-13.58,-11.90,33.47
8,-23.56,-12.92,-14.07,-12.92,45.15
