noise_mu,action_noise_std,reward_pred_no_noise,reward_prey_no_noise,reward_pred_noise_no_diffusion,reward_prey_noise_no_diffusion,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1.00,0.00,149.21,-50.05,144.49,-48.42,4.82,13.74,83.44,-28.03,2.78,16.85,66.22,-22.24,2.21,17.46,159.30,-53.46,5.31,13.45,110.36,-36.99,3.68,13.66,127.95,-42.87,4.26,13.34,116.66,-39.12,3.89,14.12,110.36,-28.03,-23.62,42.11
1.00,1.00,149.21,-50.05,38.81,-14.15,1.29,16.97,28.12,-10.40,0.94,19.04,29.59,-11.08,0.99,18.67,38.06,-13.97,1.27,17.58,35.48,-13.43,1.18,17.38,38.55,-14.38,1.28,17.02,36.49,-14.34,1.22,17.10,35.48,-10.40,-8.60,26.49
1.00,2.00,149.21,-50.05,24.00,-14.13,0.80,18.72,20.96,-12.14,0.70,19.61,19.69,-12.56,0.66,19.62,21.26,-12.36,0.71,19.47,21.94,-14.39,0.73,19.65,25.35,-14.43,0.84,18.66,22.35,-14.85,0.74,19.29,21.94,-12.14,-8.59,14.03
1.00,3.00,149.21,-50.05,20.96,-16.24,0.70,19.20,18.00,-15.10,0.60,19.92,20.25,-15.81,0.68,19.54,19.76,-15.00,0.66,19.30,21.07,-17.21,0.70,19.19,17.93,-15.40,0.60,19.75,18.34,-18.31,0.61,20.00,21.07,-15.10,0.54,7.01
