noise_mu,action_noise_std,reward_pred_no_noise,reward_prey_no_noise,reward_pred_noise_no_diffusion,reward_prey_noise_no_diffusion,captures_noisy,survival_noisy,reward_pred_with_diff_t20,reward_prey_with_diff_t20,captures_diff_t20,survival_diff_t20,reward_pred_predator_only_t20,reward_prey_predator_only_t20,captures_predator_only_t20,survival_predator_only_t20,reward_pred_prey_only_t20,reward_prey_prey_only_t20,captures_prey_only_t20,survival_prey_only_t20,reward_pred_with_diff_t40,reward_prey_with_diff_t40,captures_diff_t40,survival_diff_t40,reward_pred_predator_only_t40,reward_prey_predator_only_t40,captures_predator_only_t40,survival_predator_only_t40,reward_pred_prey_only_t40,reward_prey_prey_only_t40,captures_prey_only_t40,survival_prey_only_t40,best_reward_pred_with_diffusion,best_reward_prey_with_diffusion,pct_inc_pred_vs_no_diffusion,pct_inc_prey_vs_no_diffusion
1.00,0.00,83.03,-29.95,82.12,-29.49,2.74,15.79,61.05,-21.59,2.04,17.75,58.12,-21.40,1.94,17.83,90.26,-31.48,3.01,15.79,54.75,-20.88,1.82,16.37,73.20,-26.59,2.44,15.90,55.69,-21.55,1.86,16.81,61.05,-20.88,-25.66,29.18
1.00,1.00,83.03,-29.95,28.76,-14.90,0.96,18.56,21.64,-11.10,0.72,20.08,23.77,-13.66,0.79,19.26,27.94,-13.78,0.93,18.94,26.36,-15.32,0.88,18.38,24.98,-14.35,0.83,18.78,27.45,-16.91,0.92,18.75,26.36,-11.10,-8.34,25.50
1.00,2.00,83.03,-29.95,20.70,-17.77,0.69,19.31,16.99,-14.14,0.57,20.09,19.54,-17.56,0.65,19.64,18.56,-14.94,0.62,19.67,18.64,-18.28,0.62,19.92,20.66,-17.59,0.69,19.24,19.20,-18.44,0.64,19.67,18.64,-14.14,-9.96,20.46
1.00,3.00,83.03,-29.95,15.90,-18.21,0.53,19.89,16.50,-17.97,0.55,20.16,16.61,-18.15,0.55,20.02,16.24,-16.92,0.54,19.93,17.21,-19.35,0.57,19.64,15.11,-18.33,0.50,20.27,16.65,-20.82,0.56,20.04,17.21,-17.97,8.25,1.35
