noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-407.55,0.39,-409.29,0.43,-474.74,3.76,-547.69,6.51,-474.74,-15.99
0.00,1.00,-407.55,0.39,-540.32,0.43,-531.47,4.02,-578.09,7.14,-531.47,1.64
0.00,2.00,-407.55,0.39,-637.76,0.44,-547.25,3.81,-593.45,6.58,-547.25,14.19
0.00,3.00,-407.55,0.39,-684.41,0.43,-556.66,3.84,-604.77,6.85,-556.66,18.66
