noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,4.88,1.81,4.45,1.97,1.38,7.59,4.03,12.02,4.03,-9.46
0.00,1.00,4.88,1.81,-3.14,1.96,-1.53,7.60,-0.87,12.00,-0.87,72.43
0.00,2.00,4.88,1.81,-15.70,1.99,-5.68,7.72,-5.29,12.16,-5.29,66.32
0.00,3.00,4.88,1.81,-23.15,1.98,-6.38,7.62,-8.31,12.20,-6.38,72.45
