noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
-1.00,0.00,-30.60,0.39,-32.14,0.43,-57.30,3.48,-62.08,5.60,-57.30,-78.29
-1.00,1.00,-30.60,0.39,-80.30,0.43,-60.32,3.48,-66.30,5.60,-60.32,24.88
-1.00,2.00,-30.60,0.39,-138.91,0.43,-57.44,3.48,-63.67,5.60,-57.44,58.65
-1.00,3.00,-30.60,0.39,-185.79,0.43,-58.76,3.48,-63.57,5.61,-58.76,68.37
