noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,-424.47,0.39,-421.98,0.40,-450.39,3.81,-430.28,6.85,-430.28,-1.97
1.00,1.00,-424.47,0.39,-536.57,0.39,-524.68,3.80,-549.02,6.86,-524.68,2.22
1.00,2.00,-424.47,0.39,-625.82,0.39,-583.72,3.80,-635.00,6.86,-583.72,6.73
1.00,3.00,-424.47,0.39,-682.80,0.39,-609.49,3.80,-665.04,6.86,-609.49,10.74
