noise_mu,action_noise_std,reward_no_noise,clean_time,reward_noise_no_diffusion,no_noise_time,reward_with_diff_t20,t20_time,reward_with_diff_t40,t40_time,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,-403.80,0.36,-403.10,0.38,-435.94,3.83,-407.94,6.88,-407.94,-1.20
1.00,1.00,-403.80,0.36,-536.13,0.38,-528.89,3.82,-560.92,6.90,-528.89,1.35
1.00,2.00,-403.80,0.36,-633.40,0.38,-586.64,3.81,-643.33,6.90,-586.64,7.38
1.00,3.00,-403.80,0.36,-681.49,0.39,-613.33,3.82,-679.30,6.91,-613.33,10.00
