noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
1.00,0.00,-448.18,-453.11,-467.22,-434.27,-682.98,-434.27,4.16
1.00,1.00,-448.18,-545.27,-537.75,-573.94,-2212.70,-537.75,1.38
1.00,2.00,-448.18,-639.45,-592.14,-695.58,-4047.43,-592.14,7.40
1.00,3.00,-448.18,-683.55,-620.68,-760.79,-5085.72,-620.68,9.20
