noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-8.37,-8.44,-10.31,-13.36,-14.43,-10.31,-22.20
0.00,0.40,-8.37,-10.36,-11.01,-13.42,-14.55,-11.01,-6.27
0.00,0.80,-8.37,-15.03,-11.99,-13.19,-14.50,-11.99,20.24
0.00,1.20,-8.37,-19.31,-12.22,-13.57,-15.09,-12.22,36.69
0.00,1.60,-8.37,-22.63,-12.81,-13.43,-15.53,-12.81,43.39
0.00,2.00,-8.37,-24.08,-12.83,-13.89,-15.87,-12.83,46.72
0.00,2.40,-8.37,-26.33,-13.28,-13.90,-15.45,-13.28,49.56
0.00,2.80,-8.37,-27.02,-13.11,-14.29,-15.65,-13.11,51.47
0.00,3.00,-8.37,-28.44,-13.54,-13.95,-15.66,-13.54,52.39
