noise_mu,action_noise_std,reward_no_noise,reward_noise_no_diffusion,reward_with_diff_t20,reward_with_diff_t40,reward_with_diff_t60,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,0.00,-30.66,-29.69,-58.01,-63.43,-122.68,-58.01,-95.39
0.00,0.40,-30.66,-41.90,-58.99,-63.81,-117.61,-58.99,-40.79
0.00,0.80,-30.66,-64.09,-57.00,-64.74,-118.93,-57.00,11.05
0.00,1.20,-30.66,-90.57,-57.40,-66.02,-119.83,-57.40,36.63
0.00,1.60,-30.66,-122.75,-59.74,-67.12,-120.46,-59.74,51.33
0.00,2.00,-30.66,-145.19,-62.42,-63.17,-117.08,-62.42,57.01
0.00,2.40,-30.66,-152.23,-59.16,-60.87,-120.54,-59.16,61.14
0.00,2.80,-30.66,-167.01,-60.28,-65.12,-119.96,-60.28,63.91
0.00,3.00,-30.66,-173.13,-61.20,-62.55,-122.91,-61.20,64.65
