sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-8.46,-10.71,-13.21,-10.71,-26.58
0.10,-10.73,-11.10,-13.40,-11.10,-3.49
0.25,-14.89,-11.82,-13.56,-11.82,20.64
0.50,-21.18,-12.76,-14.08,-12.76,39.78
0.75,-30.21,-13.32,-14.14,-13.32,55.92
1.00,-41.25,-14.15,-14.59,-14.15,65.71
