sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-33.76,-56.24,-65.05,-56.24,-66.60
0.10,-40.81,-52.05,-63.77,-52.05,-27.56
0.25,-69.95,-58.40,-63.61,-58.40,16.50
0.50,-136.86,-55.56,-62.04,-55.56,59.40
0.75,-245.23,-61.04,-63.75,-61.04,75.11
1.00,-393.56,-60.93,-66.00,-60.93,84.52
