sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,4.03,2.15,5.38,5.38,33.35
0.10,3.59,1.50,4.71,4.71,31.35
0.25,-1.14,2.04,3.82,3.82,434.09
0.50,-12.65,0.48,-1.44,0.48,103.83
0.75,-37.08,-0.46,-10.02,-0.46,98.76
1.00,-69.42,-2.39,-23.36,-2.39,96.56
