sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-400.47,-434.70,-393.13,-393.13,1.83
0.10,-420.72,-450.58,-437.82,-437.82,-4.06
0.25,-474.23,-482.58,-514.14,-482.58,-1.76
0.50,-566.14,-538.32,-652.86,-538.32,4.91
0.75,-730.25,-620.20,-899.58,-620.20,15.07
1.00,-1063.47,-734.27,-1313.96,-734.27,30.95
