sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,4.18,1.75,4.25,4.25,1.55
0.10,3.86,1.10,3.91,3.91,1.24
0.25,0.34,0.35,2.24,2.24,556.86
0.50,-12.50,0.19,-2.74,0.19,101.51
0.75,-36.44,-1.43,-11.69,-1.43,96.09
1.00,-71.34,-3.30,-24.37,-3.30,95.37
