sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-9.12,-10.79,-13.00,-10.79,-18.34
0.10,-11.36,-11.31,-13.55,-11.31,0.41
0.25,-15.26,-11.50,-13.65,-11.50,24.68
0.50,-22.50,-12.34,-13.99,-12.34,45.13
0.75,-30.64,-13.31,-14.06,-13.31,56.56
1.00,-41.32,-14.38,-14.78,-14.38,65.19
