sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,-58.92,-58.24,-65.33,-58.24,1.14
0.10,-61.67,-60.21,-67.30,-60.21,2.38
0.25,-85.59,-58.07,-67.01,-58.07,32.15
0.50,-155.04,-61.23,-62.64,-61.23,60.50
0.75,-251.45,-59.06,-66.86,-59.06,76.51
1.00,-399.20,-60.99,-64.87,-60.99,84.72
