sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,95.27,41.88,66.19,66.19,-30.52
0.10,72.17,38.52,42.76,42.76,-40.74
0.25,49.45,24.98,17.69,24.98,-49.50
0.50,5.52,-3.38,-17.91,-3.38,-161.30
0.75,-28.06,-28.56,-53.80,-28.56,-1.77
1.00,-59.64,-55.61,-88.50,-55.61,6.75
