sp_prob,reward_noisy,reward_with_diff_t20,reward_with_diff_t40,best_reward_with_diffusion,pct_inc_vs_no_diffusion
0.00,5.27,1.14,4.87,4.87,-7.68
0.10,3.97,1.43,3.78,3.78,-4.60
0.25,-0.79,1.23,2.51,2.51,419.63
0.50,-14.35,0.38,-2.85,0.38,102.63
0.75,-35.84,-1.09,-11.47,-1.09,96.96
1.00,-70.67,-3.52,-25.50,-3.52,95.02
